Match,Team_Innings,Batting_Pos,Batsman,Dismissal,Runs,Balls,4s,6s,SR
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,1,Devon Conway,b Mohammed Shami,1,6,0,0,16.66
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,2,Ruturaj Gaikwad,c Shubman Gill b Joseph,92,50,4,9,184.00
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,3,Moeen Ali,c †Saha b Rashid Khan,23,17,4,1,135.29
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,4,Ben Stokes,c †Saha b Rashid Khan,7,6,1,0,116.66
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,5,Ambati Rayudu,b Little,12,12,0,1,100.00
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,6,Shivam Dube,c Rashid Khan b Mohammed Shami,19,18,0,1,105.55
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,7,Ravindra Jadeja,c Shankar b Joseph,1,2,0,0,50.00
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,8,MS Dhoni (c)†,not out,14,7,1,1,200.00
Chennai Super Kings vs Gujarat Titans,Chennai Super Kings,9,Mitchell Santner,not out,1,3,0,0,33.33
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,1,Wriddhiman Saha †,c Dube b Hangargekar,25,16,2,2,156.25
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,2,Shubman Gill,c Gaikwad b Deshpande,63,36,6,3,175.00
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,3,Sai Sudharsan,c †Dhoni b Hangargekar,22,17,3,0,129.41
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,4,Hardik Pandya (c),b Jadeja,8,11,0,0,72.72
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,5,Vijay Shankar,c Santner b Hangargekar,27,21,2,1,128.57
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,6,Rahul Tewatia,not out,15,14,1,1,107.14
Chennai Super Kings vs Gujarat Titans,Gujarat Titans,7,Rashid Khan,not out,10,3,1,1,333.33
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,1,Prabhsimran Singh,c †Rahmanullah Gurbaz b Southee,23,12,2,2,191.66
Punjab Kings vs Kolkata Knight Riders,Punjab Kings,2,Shikhar Dhawan (c),b Varun,40,29,6,0,137.93
